Player	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Zaza Pachulia	70	18.1	2.3	4.4	0.534	0	0	0	2.3	4.4	0.538	0.534	1.4	1.8	0.778	2	3.9	5.9	1.9	0.8	0.5	1.2	2.4	6.1
Glenn Robinson	27	20.7	2.3	4.9	0.467	0.7	1.8	0.392	1.6	3.1	0.512	0.54	0.8	1.1	0.711	0.8	2.7	3.6	0.7	0.6	0.3	0.5	0.9	6.1
Derrick Williams	11	16.1	2.2	4.9	0.443	0.6	1.9	0.309	1.6	2.9	0.531	0.504	1.2	1.8	0.652	0.4	2.2	2.6	0.6	0.3	0.1	0.6	1.2	6.1
Alex Abrines	6	15.5	2	5	0.393	1.4	3.6	0.381	0.6	1.4	0.426	0.531	0.6	0.7	0.898	0.3	1	1.3	0.6	0.5	0.1	0.5	1.7	6
Bismack Biyombo	27	22.1	2.2	4.2	0.528	0	0		2.2	4.2	0.528	0.528	1.5	2.9	0.534	1.9	5.1	7	0.9	0.3	1.1	1.2	2.5	6
Jordan Farmar	0	17.5	2	6	0.333	2	4.5	0.444	0	1.5	0	0.5	0	0		0.5	1	1.5	4.5	1	0	1.5	0.5	6
David Nwaba	2	19.9	2.4	4.1	0.58	0.1	0.3	0.2	2.3	3.8	0.605	0.586	1.3	2	0.641	0.9	2.3	3.2	0.7	0.7	0.4	0.6	1.8	6
Lance Thomas	15	21	2.1	5.3	0.398	0.8	1.8	0.447	1.3	3.5	0.371	0.475	0.9	1.1	0.843	0.7	2.4	3.1	0.8	0.5	0.1	0.5	1.8	6
Jerian Grant	28	16.3	2	4.8	0.425	0.8	2.1	0.366	1.3	2.7	0.473	0.507	1	1.2	0.89	0.3	1.5	1.8	1.9	0.7	0.1	0.7	1.5	5.9
Andrew Harrison	18	20.5	1.6	5	0.325	0.6	2.2	0.276	1	2.8	0.363	0.385	2.1	2.7	0.763	0.3	1.6	1.9	2.8	0.7	0.3	1.2	2.7	5.9
Domantas Sabonis	66	20.1	2.4	5.9	0.399	0.6	2	0.321	1.7	4	0.438	0.452	0.5	0.8	0.657	0.6	3	3.6	1	0.5	0.4	1	2.5	5.9
Quincy Acy	1	14.7	1.8	4.5	0.412	1	2.4	0.411	0.9	2.1	0.413	0.521	1.2	1.6	0.75	0.5	2.5	3	0.5	0.4	0.4	0.6	1.8	5.8
Beno Udrih	0	14.4	2.4	5.1	0.467	0.3	0.8	0.344	2.1	4.2	0.491	0.495	0.8	0.9	0.941	0.2	1.3	1.5	3.4	0.3	0	0.9	0.7	5.8
Tarik Black	16	16.3	2.2	4.4	0.51	0	0	0.5	2.2	4.4	0.51	0.512	1.2	1.6	0.752	2.1	3	5.1	0.6	0.4	0.7	0.9	2.6	5.7
Richard Jefferson	13	20.4	1.9	4.3	0.446	0.8	2.4	0.333	1.2	2	0.58	0.536	1	1.4	0.741	0.4	2.2	2.6	1	0.3	0.1	0.7	1.9	5.7
Jason Smith	3	14.4	2.4	4.4	0.529	0.5	1.1	0.474	1.9	3.4	0.546	0.585	0.5	0.7	0.686	0.9	2.6	3.5	0.5	0.3	0.7	0.8	2.3	5.7
Taurean Waller-Prince	10	16.6	1.9	4.8	0.4	0.6	1.7	0.324	1.4	3.1	0.443	0.458	1.3	1.6	0.787	0.4	2.2	2.7	0.9	0.7	0.5	1	1.6	5.7
Brandon Bass	0	11.1	2.1	3.6	0.575	0	0.1	0.333	2	3.5	0.579	0.578	1.5	1.7	0.875	0.8	1.7	2.5	0.4	0.3	0.2	0.6	0.9	5.6
Quinn Cook	0	13.4	2.4	4.7	0.5	0.8	1.9	0.423	1.6	2.9	0.55	0.583	0.1	0.4	0.4	0.1	0.4	0.5	1.9	0.3	0	0.9	0.9	5.6
Gerald Green	0	11.4	2	4.9	0.409	0.8	2.4	0.351	1.2	2.6	0.463	0.494	0.7	0.9	0.805	0.3	1.4	1.8	0.7	0.2	0.1	0.5	1	5.6
Ian Mahinmi	0	17.9	2.1	3.6	0.586	0	0		2.1	3.6	0.586	0.586	1.4	2.4	0.573	1.5	3.3	4.8	0.6	1.1	0.8	1.1	2.9	5.6
Georgios Papagiannis	0	16.1	2.5	4.6	0.549	0	0.1	0	2.5	4.5	0.56	0.549	0.5	0.6	0.857	1.1	2.8	3.9	0.9	0.1	0.8	1.1	2	5.6
Delon Wright	0	16.5	1.8	4.3	0.422	0.4	1.1	0.333	1.4	3.2	0.453	0.466	1.6	2	0.764	0.6	1.2	1.8	2.1	1	0.4	0.9	1.1	5.6
Jerami Grant	4	19.1	1.9	4.1	0.463	0.5	1.5	0.371	1.4	2.7	0.514	0.529	1.1	1.8	0.612	0.5	2.1	2.6	0.6	0.4	1	0.6	1.9	5.5
Boban Marjanovic	0	8.4	2.1	3.8	0.545	0	0		2.1	3.8	0.545	0.545	1.3	1.7	0.81	1.3	2.4	3.7	0.3	0.2	0.3	0.3	0.7	5.5
Anthony Morrow	7	14.6	2	5.1	0.389	0.8	2.7	0.308	1.2	2.4	0.479	0.47	0.7	0.8	0.919	0.2	0.4	0.6	0.5	0.5	0	0.1	0.9	5.5
Terry Rozier	0	17.1	2	5.6	0.367	0.8	2.4	0.318	1.3	3.1	0.405	0.437	0.7	0.9	0.773	0.5	2.5	3.1	1.8	0.6	0.1	0.6	0.9	5.5
Paul Zipser	18	19.2	2	5	0.398	0.8	2.3	0.333	1.3	2.8	0.451	0.473	0.7	0.9	0.775	0.3	2.5	2.8	0.8	0.3	0.4	0.9	1.8	5.5
Malcolm Delaney	2	17.1	2	5.3	0.374	0.4	1.5	0.236	1.6	3.8	0.428	0.407	1	1.3	0.806	0.1	1.5	1.7	2.6	0.5	0	1.3	1.5	5.4
Joffrey Lauvergne	1	14	2.1	4.8	0.44	0.5	1.4	0.337	1.6	3.4	0.483	0.49	0.7	1	0.63	1	2.6	3.6	1	0.4	0.1	0.8	1.2	5.4
Meyers Leonard	12	16.5	2	5.1	0.386	1	2.9	0.347	1	2.2	0.436	0.484	0.5	0.5	0.875	0.4	2.8	3.2	1	0.2	0.4	0.5	2.3	5.4
Alexis Ajinca	15	15	2.3	4.6	0.5	0	0.1	0	2.3	4.5	0.511	0.5	0.7	1	0.725	1.2	3.4	4.5	0.3	0.5	0.6	0.8	2	5.3
Derrick Jones	8	17	2.1	3.8	0.562	0.1	0.3	0.273	2	3.4	0.591	0.574	0.9	1.3	0.707	1.2	1.3	2.5	0.4	0.4	0.4	0.4	2	5.3
Chasson Randle	0	11.5	1.5	3.8	0.408	0.6	1.8	0.34	0.9	2	0.471	0.49	1.6	1.7	0.953	0.2	1	1.2	1.3	0.3	0.1	0.7	1.5	5.3
Willie Reed	5	14.5	2.3	4	0.568	0	0.1	0.25	2.3	4	0.573	0.57	0.7	1.2	0.557	1.8	2.9	4.7	0.4	0.3	0.7	0.4	1.9	5.3
Omri Casspi	2	17.9	2.1	4.6	0.47	0.4	1.2	0.349	1.7	3.4	0.512	0.515	0.5	0.8	0.586	0.8	2.4	3.1	1	0.6	0.1	0.8	1.4	5.2
Mike Dunleavy	2	15.9	1.8	4.2	0.423	1	2.5	0.396	0.8	1.6	0.465	0.543	0.7	0.8	0.8	0.3	1.8	2.2	0.9	0.3	0.1	0.5	1.3	5.2
Randy Foye	40	18.6	1.7	4.7	0.363	1	2.9	0.33	0.7	1.8	0.418	0.466	0.8	0.9	0.857	0.1	2.1	2.2	2	0.5	0.1	1.2	1.4	5.2
Cameron Payne	0	14.9	2.1	6.2	0.332	0.9	2.8	0.314	1.2	3.5	0.346	0.402	0.2	0.3	0.625	0.1	1.5	1.5	1.8	0.5	0.1	0.9	1.7	5.2
Dewayne Dedmon	37	17.5	2.1	3.4	0.622	0	0		2.1	3.4	0.622	0.622	0.9	1.2	0.699	1.7	4.8	6.5	0.6	0.5	0.8	0.8	2.4	5.1
Cheick Diallo	0	11.7	2.1	4.5	0.474	0	0		2.1	4.5	0.474	0.474	0.9	1.2	0.714	1.4	2.9	4.3	0.2	0.2	0.4	0.4	1	5.1
Shaun Livingston	3	17.7	2.3	4.2	0.547	0	0	0.333	2.3	4.1	0.55	0.549	0.6	0.8	0.7	0.4	1.6	2	1.8	0.5	0.3	0.8	1.6	5.1
Luis Scola	1	12.8	2	4.2	0.47	0.5	1.4	0.34	1.5	2.8	0.535	0.526	0.7	1	0.676	1.4	2.4	3.9	1	0.4	0.1	0.9	1.8	5.1
Wayne Selden	5	16.9	1.8	4.1	0.431	0.5	2	0.25	1.3	2.1	0.6	0.491	1	1.6	0.636	0.1	1.1	1.1	0.9	0.4	0.1	0.9	1.3	5.1
Hollis Thompson	9	18.8	1.9	5	0.385	0.8	2.4	0.337	1.1	2.6	0.429	0.465	0.5	0.7	0.655	0.5	2.3	2.8	0.9	0.5	0.2	0.3	1.7	5.1
Denzel Valentine	0	17.1	1.8	5.1	0.354	1.3	3.6	0.351	0.5	1.4	0.363	0.481	0.2	0.3	0.778	0.2	2.5	2.6	1.1	0.5	0.1	0.9	1.5	5.1
Anthony Bennett	1	11.5	1.7	4	0.413	0.6	2.1	0.271	1.1	1.9	0.568	0.484	1.1	1.6	0.722	1.1	2.3	3.4	0.5	0.2	0.1	0.5	0.8	5
Aaron Brooks	0	13.8	1.9	4.6	0.403	0.7	2	0.375	1.1	2.6	0.424	0.483	0.5	0.6	0.8	0.3	0.8	1.1	1.9	0.4	0.1	1	1.4	5
Trey Burke	0	12.3	2	4.5	0.455	0.5	1.2	0.443	1.5	3.2	0.459	0.516	0.4	0.5	0.759	0.1	0.7	0.8	1.8	0.2	0.1	0.8	0.9	5
Joakim Noah	46	22.1	2.2	4.4	0.49	0	0	0	2.2	4.4	0.493	0.49	0.7	1.7	0.436	3.5	5.2	8.8	2.2	0.7	0.8	1.3	2.8	5
Thomas Robinson	1	11.7	2.2	4.1	0.536	0	0	0	2.2	4.1	0.538	0.536	0.6	1.4	0.47	1.8	2.9	4.6	0.6	0.5	0.2	1	1.6	5
Aron Baynes	2	15.5	1.9	3.7	0.513	0	0		1.9	3.7	0.513	0.513	1.1	1.3	0.84	1.5	3	4.4	0.4	0.2	0.5	0.7	2.2	4.9
Toney Douglas	0	16.4	1.8	4.9	0.368	0.3	1.8	0.167	1.5	3.1	0.48	0.397	1	1.2	0.828	0.5	2	2.5	2.3	0.8	0.2	0.9	2.1	4.9
Juan Hernangomez	9	13.6	1.6	3.6	0.451	0.7	1.8	0.407	0.9	1.8	0.495	0.554	0.9	1.2	0.75	0.7	2.3	3	0.5	0.5	0.2	0.5	1	4.9
Mario Hezonja	2	14.8	1.8	5.1	0.355	0.7	2.2	0.299	1.1	2.9	0.398	0.42	0.6	0.8	0.8	0.3	1.9	2.2	1	0.5	0.2	0.9	1.1	4.9
Josh McRoberts	14	17.3	2	5.4	0.373	0.6	1.4	0.419	1.4	4	0.356	0.428	0.3	0.4	0.667	1	2.3	3.4	2.3	0.5	0.2	1	1.4	4.9
Tiago Splitter	0	9.5	1.8	3.9	0.452	0.3	0.8	0.333	1.5	3.1	0.48	0.484	1.1	1.4	0.818	1	1.8	2.8	0.5	0.1	0.1	0.8	1	4.9
Luke Babbitt	55	15.7	1.7	4.1	0.402	1.3	3.1	0.414	0.4	1	0.366	0.557	0.2	0.2	0.733	0.2	1.9	2.1	0.5	0.3	0.2	0.4	1.7	4.8
Jarell Eddie	0	12.4	1.2	3.8	0.316	0.8	3.2	0.25	0.4	0.6	0.667	0.421	1.6	1.8	0.889	0.2	1.2	1.4	0	0.2	0	0.2	0.2	4.8
Cristiano Felicio	0	15.8	1.9	3.3	0.579	0	0		1.9	3.3	0.579	0.579	0.9	1.4	0.645	1.9	2.8	4.7	0.6	0.4	0.3	0.5	1.7	4.8
Kevin Seraphin	3	11.4	2.2	4	0.551	0	0	0	2.2	4	0.556	0.551	0.3	0.4	0.636	0.8	2.1	2.9	0.5	0.1	0.4	0.6	1.3	4.7
Isaiah Canaan	0	15.2	1.6	4.4	0.364	0.6	2.4	0.266	1	2	0.481	0.436	0.8	0.8	0.909	0.2	1.1	1.3	0.9	0.6	0	0.5	0.9	4.6
Boris Diaw	33	17.6	2	4.5	0.446	0.3	1.1	0.247	1.7	3.4	0.512	0.477	0.4	0.5	0.743	0.6	1.5	2.2	2.3	0.2	0.1	1.2	1.1	4.6
Roy Hibbert	13	14.2	1.7	3.1	0.544	0	0		1.7	3.1	0.544	0.544	1.3	1.6	0.813	1.1	2	3.2	0.4	0.2	1	0.7	2.1	4.6
Kris Humphries	4	12.3	1.6	3.8	0.407	0.3	1	0.352	1.2	2.9	0.425	0.451	1.1	1.5	0.78	1.1	2.6	3.7	0.5	0.3	0.4	0.5	1.2	4.6
David West	0	12.6	2	3.7	0.536	0	0.1	0.375	1.9	3.6	0.541	0.542	0.6	0.8	0.768	0.7	2.3	3	2.2	0.6	0.7	1.1	1.5	4.6
Davis Bertans	6	12.1	1.5	3.5	0.44	1	2.6	0.399	0.5	0.9	0.557	0.588	0.4	0.5	0.824	0.3	1.1	1.5	0.7	0.3	0.4	0.5	1.1	4.5
Corey Brewer	11	15.6	1.8	4.2	0.422	0.3	1.4	0.229	1.5	2.8	0.522	0.461	0.6	0.8	0.735	0.4	1.6	2	1.2	0.7	0.2	0.7	1.6	4.5
Reggie Bullock	5	15.1	1.7	4.1	0.422	0.9	2.4	0.384	0.8	1.8	0.473	0.531	0.2	0.2	0.714	0.4	1.6	2.1	0.9	0.6	0.1	0.3	0.7	4.5
C.J. Watson	9	16.3	1.5	4	0.387	0.5	1.7	0.305	1	2.3	0.448	0.452	0.9	1.1	0.864	0.3	1.2	1.4	1.8	0.7	0	0.8	1.4	4.5
Reggie Williams	0	13.2	1.3	3.8	0.348	0.8	1.8	0.455	0.5	2	0.25	0.457	1	1.2	0.857	0.3	0.7	1	0.7	0.5	0	0	0.3	4.5
Pierre Jackson	1	10.5	1.6	4.9	0.333	0.4	1.4	0.273	1.3	3.5	0.357	0.372	0.8	0.9	0.857	0.1	1	1.1	2.4	0.3	0	0.4	0.6	4.4
Stanley Johnson	1	17.8	1.7	4.7	0.353	0.6	2	0.292	1.1	2.7	0.398	0.415	0.5	0.7	0.679	0.5	2	2.5	1.4	0.7	0.3	0.9	1.6	4.4
Jordan McRae	4	10.4	1.6	4.1	0.387	0.5	1.4	0.353	1.1	2.7	0.404	0.447	0.7	0.9	0.794	0.2	0.9	1.1	0.5	0.2	0.2	0.4	0.8	4.4
Donatas Motiejunas	0	14.1	1.7	4.1	0.413	0.3	1.4	0.234	1.4	2.7	0.505	0.453	0.7	1.4	0.51	0.8	2.2	3	0.9	0.5	0.3	0.9	1.6	4.4
Lucas Nogueira	6	19.1	1.8	2.7	0.66	0.1	0.2	0.25	1.8	2.5	0.694	0.67	0.8	1.2	0.657	1.4	2.8	4.3	0.7	0.9	1.6	0.8	2.4	4.4
Jarrod Uthoff	0	12.8	1.8	4.2	0.421	0.3	1	0.333	1.4	3.2	0.448	0.461	0.6	0.8	0.714	0.9	1.6	2.4	1	0.2	0.4	0.3	0.9	4.4
Noah Vonleh	41	17.1	1.8	3.6	0.481	0.1	0.3	0.35	1.7	3.4	0.492	0.494	0.8	1.3	0.638	1.8	3.5	5.2	0.4	0.4	0.4	0.9	2.1	4.4
Ed Davis	12	17.2	1.6	3.1	0.528	0	0		1.6	3.1	0.528	0.528	1.1	1.8	0.617	2.1	3.2	5.3	0.6	0.3	0.5	0.8	3	4.3
Tyler Ennis	2	11.1	1.7	3.9	0.433	0.5	1.3	0.386	1.2	2.6	0.457	0.498	0.4	0.5	0.84	0.2	0.7	0.8	1.6	0.5	0	0.8	1.1	4.3
Dorian Finney-Smith	35	20.3	1.5	4.1	0.372	0.7	2.4	0.293	0.8	1.8	0.479	0.456	0.6	0.8	0.754	0.7	2.1	2.7	0.8	0.6	0.3	0.6	1.5	4.3
K.J. McDaniels	0	10.3	1.6	3.4	0.456	0.4	1.3	0.303	1.2	2.1	0.553	0.515	0.7	0.8	0.842	0.3	1.4	1.7	0.3	0.4	0.4	0.6	1	4.2
Brandon Rush	33	21.9	1.5	4	0.374	0.9	2.4	0.386	0.6	1.6	0.356	0.492	0.3	0.4	0.722	0.3	1.8	2.1	1	0.5	0.5	0.6	0.9	4.2
Pascal Siakam	38	15.6	1.9	3.7	0.502	0	0.1	0.143	1.9	3.6	0.515	0.505	0.4	0.6	0.688	1.2	2.2	3.4	0.3	0.5	0.8	0.6	2	4.2
Ron Baker	13	16.5	1.6	4.2	0.378	0.4	1.7	0.267	1.1	2.5	0.45	0.431	0.5	0.8	0.651	0.2	1.7	1.9	2.1	0.7	0.2	1.1	1.4	4.1
Shabazz Napier	2	9.7	1.4	3.5	0.399	0.6	1.7	0.37	0.7	1.7	0.429	0.492	0.7	0.9	0.776	0.2	1	1.2	1.3	0.6	0	0.8	0.7	4.1
Jason Terry	0	18.4	1.4	3.3	0.432	1	2.3	0.427	0.4	1	0.444	0.582	0.3	0.4	0.828	0.2	1.2	1.4	1.3	0.6	0.3	0.5	1.3	4.1
Kay Felder	0	9.2	1.5	3.8	0.392	0.2	0.5	0.318	1.3	3.2	0.404	0.415	0.8	1.2	0.714	0.1	0.9	1	1.4	0.4	0.2	0.7	0.9	4
Justin Harper	0	10.3	1.7	4	0.417	0.7	2.3	0.286	1	1.7	0.6	0.5	0	0		0.7	1	1.7	0.7	0	0	1.3	0.7	4
Thon Maker	34	9.9	1.5	3.2	0.459	0.5	1.3	0.378	1	1.9	0.514	0.536	0.6	0.9	0.653	0.7	1.3	2	0.4	0.2	0.5	0.3	1.5	4
Patrick McCaw	20	15.1	1.5	3.5	0.433	0.6	1.7	0.333	0.9	1.7	0.533	0.516	0.4	0.5	0.784	0.3	1.1	1.4	1.1	0.5	0.2	0.5	0.9	4
Edy Tavares	0	14	2	2.5	0.8	0	0		2	2.5	0.8	0.8	0	1.5	0	2	3.5	5.5	0.5	0	3	1	1.5	4
Anthony Brown	0	14.5	1.6	4.5	0.36	0.6	2.5	0.259	1	2.1	0.478	0.43	0	0		0.7	2.3	3	0.7	0.5	0.1	0.5	1.4	3.9
Jarell Martin	3	13.3	1.4	3.6	0.384	0.2	0.6	0.36	1.2	3	0.389	0.414	1	1.2	0.8	1	2.9	3.9	0.2	0.4	0.2	0.7	2.2	3.9
Malik Beasley	1	7.5	1.5	3.3	0.452	0.4	1.3	0.321	1.1	2	0.533	0.514	0.4	0.5	0.8	0.2	0.5	0.8	0.5	0.3	0	0.4	0.5	3.8
Kris Dunn	7	17.1	1.5	4	0.377	0.3	0.9	0.288	1.2	3.1	0.404	0.411	0.5	0.8	0.61	0.3	1.8	2.1	2.4	1	0.5	1.1	2.3	3.8
Jonas Jerebko	6	15.8	1.5	3.4	0.435	0.6	1.7	0.346	0.9	1.7	0.523	0.521	0.3	0.5	0.703	0.8	2.7	3.5	0.9	0.3	0.2	0.5	1.6	3.8
Malachi Richardson	0	9	1.3	3.1	0.412	0.4	1.3	0.286	0.9	1.8	0.5	0.471	0.7	0.9	0.789	0.1	0.9	1	0.5	0.2	0	0.4	1	3.6
Tyus Jones	0	12.9	1.3	3	0.414	0.4	1.2	0.356	0.8	1.8	0.454	0.486	0.6	0.7	0.767	0.2	1	1.1	2.6	0.8	0.1	0.6	0.8	3.5
Johnny O'Bryant	0	7.3	1.4	2.7	0.5	0.3	0.5	0.5	1.1	2.2	0.5	0.55	0.5	0.5	0.833	0.8	0.9	1.7	0.5	0	0.1	0.5	0.9	3.5
Adreian Payne	0	7.5	1.3	3	0.426	0.2	0.8	0.2	1.1	2.2	0.513	0.454	0.8	1.1	0.737	0.5	1.3	1.8	0.4	0.4	0.4	0.4	1.8	3.5
Brian Roberts	2	10.1	1.1	3	0.377	0.4	1.1	0.386	0.7	1.9	0.372	0.447	0.8	1	0.846	0.1	0.8	1	1.3	0.2	0	0.6	0.4	3.5
Rashad Vaughn	2	11.2	1.4	3.8	0.365	0.6	2	0.321	0.8	1.8	0.413	0.449	0	0.1	0.4	0.1	1.1	1.2	0.6	0.5	0.2	0.3	0.8	3.5
Tyler Zeller	5	10.3	1.5	3.1	0.494	0	0	0	1.5	3.1	0.497	0.494	0.4	0.8	0.564	0.8	1.6	2.4	0.8	0.1	0.4	0.4	1.2	3.5
Kyle Anderson	14	14.2	1.3	2.9	0.445	0.2	0.6	0.375	1.1	2.3	0.462	0.481	0.6	0.8	0.789	0.5	2.4	2.9	1.3	0.7	0.4	0.5	0.9	3.4
Dragan Bender	0	13.3	1.3	3.7	0.354	0.7	2.3	0.277	0.7	1.4	0.483	0.441	0.1	0.3	0.364	0.5	1.9	2.4	0.5	0.2	0.5	0.7	1.7	3.4
Jose Calderon	13	13.1	1.3	3.3	0.41	0.5	1.6	0.313	0.9	1.7	0.5	0.485	0.3	0.3	0.917	0.4	1.4	1.8	2.1	0.3	0	1	0.9	3.4
Dejounte Murray	8	8.5	1.3	3.1	0.431	0.2	0.6	0.391	1.1	2.4	0.441	0.47	0.6	0.8	0.7	0.2	0.9	1.1	1.3	0.2	0.2	1	0.8	3.4
Jared Sullinger	1	10.7	1.4	4.3	0.319	0.3	1.6	0.167	1.1	2.6	0.414	0.351	0.4	0.7	0.5	0.9	1.5	2.5	0.3	0.4	0.1	0.4	1.5	3.4
Norris Cole	0	9.6	1.2	4	0.308	0.2	1	0.231	1	3	0.333	0.337	0.6	0.8	0.8	0	0.8	0.8	1.1	0.6	0	0.5	1.4	3.3
Darrun Hilliard	1	9.8	1.2	3.2	0.373	0.3	1.2	0.261	0.9	2.1	0.438	0.421	0.5	0.7	0.75	0.1	0.8	0.8	0.8	0.3	0.1	0.7	1	3.3
Nicolas Laprovittola	3	9.7	1.1	2.6	0.426	0.6	1.5	0.37	0.6	1.1	0.5	0.532	0.5	0.5	1	0.1	0.5	0.6	1.6	0.2	0.1	1.1	1.1	3.3
Gary Payton	0	16.5	1.3	3.7	0.364	0.2	1.5	0.111	1.2	2.2	0.538	0.386	0.5	0.8	0.6	0	2	2	2.2	0.5	0.7	1.7	1.5	3.3
Wade Baldwin	1	12.3	1.1	3.5	0.313	0.1	0.7	0.136	1	2.8	0.355	0.326	0.9	1.1	0.838	0.3	1.1	1.4	1.8	0.5	0.2	1.2	1.2	3.2
Henry Ellenson	2	7.7	1.2	3.4	0.359	0.5	1.8	0.286	0.7	1.5	0.448	0.438	0.2	0.4	0.5	0.4	1.7	2.2	0.4	0.1	0.1	0.7	0.3	3.2
Paul Pierce	7	11.1	1.1	2.8	0.4	0.6	1.7	0.349	0.5	1.1	0.481	0.507	0.4	0.5	0.769	0	1.9	1.9	0.4	0.2	0.2	0.6	1.6	3.2
Maurice Ndour	4	10.3	1.2	2.7	0.453	0	0.2	0.143	1.2	2.5	0.481	0.459	0.6	0.8	0.731	0.7	1.3	2	0.3	0.5	0.3	0.4	0.9	3.1
Jakob Poeltl	4	11.6	1.2	2.1	0.583	0	0		1.2	2.1	0.583	0.583	0.6	1.1	0.544	1.4	1.6	3.1	0.2	0.3	0.4	0.5	2.1	3.1
Briante Weber	0	10.3	1.3	3	0.417	0.1	0.5	0.1	1.2	2.5	0.48	0.425	0.6	0.8	0.688	0.4	0.9	1.3	1.1	0.6	0.1	0.4	0.8	3.1
Jarrett Jack	0	16.5	1	1.5	0.667	0	0.5	0	1	1	1	0.667	1	1	1	0	0	0	2.5	1	0	1.5	2	3
Sheldon McClellan	3	9.6	1	2.5	0.4	0.2	1	0.233	0.8	1.5	0.511	0.447	0.8	0.9	0.852	0.1	1	1.1	0.5	0.3	0.1	0.2	0.6	3
Sasha Vujacic	4	9.7	1	3.2	0.309	0.5	1.8	0.311	0.5	1.5	0.306	0.393	0.4	0.6	0.708	0.3	1.1	1.4	1.2	0.3	0	0.4	0.9	3
Lavoy Allen	5	14.3	1.3	2.8	0.458	0	0	0	1.3	2.7	0.461	0.458	0.4	0.5	0.697	1.7	1.9	3.6	0.9	0.3	0.4	0.5	1.3	2.9
Alan Anderson	0	10.3	1	2.7	0.375	0.5	1.5	0.318	0.5	1.2	0.444	0.463	0.4	0.5	0.75	0.1	0.7	0.8	0.4	0.1	0	0.2	1.2	2.9
Andrew Bogut	21	21.6	1.4	3	0.469	0	0	0	1.4	3	0.475	0.469	0.1	0.4	0.273	2.1	6	8.1	1.8	0.5	0.9	1.6	3.2	2.9
Semaj Christon	1	15.2	1.2	3.5	0.345	0.2	1	0.19	1	2.5	0.406	0.372	0.3	0.5	0.548	0.3	1.1	1.4	2	0.4	0.1	0.7	1.2	2.9
Salah Mejri	11	12.4	1.2	1.9	0.642	0	0	0.333	1.2	1.8	0.649	0.646	0.5	0.8	0.59	1.3	2.9	4.2	0.2	0.4	0.8	0.5	2.1	2.9
Fred VanVleet	0	7.9	1.1	3	0.351	0.3	0.8	0.379	0.8	2.2	0.341	0.401	0.5	0.6	0.818	0.1	1	1.1	0.9	0.4	0.1	0.4	1	2.9
Jeff Withey	1	8.5	1.1	2	0.534	0	0	0	1.1	2	0.539	0.534	0.7	0.9	0.75	1	1.4	2.4	0.1	0.3	0.6	0.3	1	2.9
Nicolas Brussino	2	9.6	1	2.6	0.369	0.5	1.8	0.305	0.4	0.9	0.5	0.472	0.3	0.4	0.773	0.5	1.3	1.8	0.9	0.3	0.1	0.5	0.8	2.8
Marcus Georges-Hunt	0	9.6	0.4	1.4	0.286	0.2	0.4	0.5	0.2	1	0.2	0.357	1.8	2	0.9	0.2	1.6	1.8	0.6	0.2	0	0.4	1	2.8
James Jones	2	7.9	0.9	1.9	0.478	0.6	1.4	0.47	0.3	0.5	0.5	0.647	0.3	0.4	0.65	0.1	0.7	0.8	0.3	0.1	0.2	0.2	0.8	2.8
James Michael McAdoo	2	8.8	1.2	2.3	0.53	0	0.2	0.25	1.2	2.1	0.55	0.538	0.4	0.8	0.5	0.7	1.1	1.8	0.3	0.3	0.6	0.4	0.9	2.8
Chinanu Onuaku	1	10.4	1	1.4	0.714	0	0		1	1.4	0.714	0.714	0.8	0.8	1	0.4	1.6	2	0.6	0.6	0.2	0.8	1.2	2.8
Kyle Singler	2	12	1.1	2.6	0.41	0.2	1.2	0.189	0.8	1.4	0.587	0.452	0.4	0.5	0.765	0.3	1.3	1.5	0.3	0.2	0.2	0.3	0.9	2.8
Axel Toupane	0	11.8	1.3	2.3	0.556	0.3	1	0.25	1	1.3	0.8	0.611	0	0		0	0.3	0.3	0	0.3	0.3	0	1.5	2.8
Okaro White	0	13.5	0.9	2.5	0.379	0.3	1	0.353	0.6	1.5	0.396	0.448	0.6	0.6	0.909	0.7	1.6	2.3	0.6	0.3	0.3	0.5	1.5	2.8
Omer Asik	19	15.5	1	2.1	0.477	0	0		1	2.1	0.477	0.477	0.7	1.3	0.59	1.5	3.7	5.3	0.5	0.2	0.3	0.5	1.6	2.7
DeAndre' Bembry	1	9.8	1.2	2.6	0.48	0	0.5	0.056	1.2	2.1	0.575	0.485	0.2	0.4	0.375	0.4	1.2	1.6	0.7	0.2	0.1	0.4	0.6	2.7
Marcelo Huertas	1	10.3	1.1	3	0.368	0.2	0.8	0.211	0.9	2.1	0.429	0.397	0.4	0.7	0.529	0.1	1	1	2.3	0.4	0.1	0.8	0.7	2.7
Wesley Johnson	3	11.9	1.1	2.9	0.365	0.4	1.7	0.246	0.6	1.2	0.537	0.438	0.2	0.3	0.647	0.4	2.3	2.7	0.3	0.4	0.4	0.3	1.2	2.7
Tomas Satoransky	3	12.6	1.1	2.6	0.415	0.2	0.6	0.243	0.9	1.9	0.473	0.446	0.4	0.6	0.697	0.4	1	1.5	1.6	0.5	0.1	0.7	1.1	2.7
